,index,X
615,"(0, 76, 8)",0.0
616,"(0, 77, 1)",0.0
617,"(0, 77, 2)",0.0
618,"(0, 77, 3)",0.0
619,"(0, 77, 4)",0.0
620,"(0, 77, 5)",0.0
621,"(0, 77, 6)",0.0
622,"(0, 77, 7)",0.0
623,"(0, 77, 8)",0.0
624,"(0, 78, 1)",0.0
625,"(0, 78, 2)",0.0
626,"(0, 78, 3)",0.0
627,"(0, 78, 4)",0.0
628,"(0, 78, 5)",0.0
629,"(0, 78, 6)",0.0
630,"(0, 78, 7)",0.0
631,"(0, 78, 8)",0.0
632,"(0, 79, 1)",0.0
633,"(0, 79, 2)",0.0
634,"(0, 79, 3)",0.0
635,"(0, 79, 4)",0.0
636,"(0, 79, 5)",0.0
637,"(0, 79, 6)",0.0
638,"(0, 79, 7)",0.0
639,"(0, 79, 8)",0.0
640,"(0, 80, 1)",0.0
641,"(0, 80, 2)",0.0
642,"(0, 80, 3)",0.0
643,"(0, 80, 4)",0.0
644,"(0, 80, 5)",0.0
645,"(0, 80, 6)",0.0
646,"(0, 80, 7)",0.0
647,"(0, 80, 8)",0.0
648,"(0, 81, 1)",0.0
649,"(0, 81, 2)",0.0
650,"(0, 81, 3)",0.0
651,"(0, 81, 4)",0.0
652,"(0, 81, 5)",0.0
653,"(0, 81, 6)",0.0
654,"(0, 81, 7)",0.0
655,"(0, 81, 8)",0.0
656,"(0, 82, 1)",0.0
657,"(0, 82, 2)",0.0
658,"(0, 82, 3)",0.0
659,"(0, 82, 4)",0.0
660,"(0, 82, 5)",0.0
661,"(0, 82, 6)",0.0
662,"(0, 82, 7)",0.0
663,"(0, 82, 8)",0.0
664,"(0, 83, 1)",0.0
665,"(0, 83, 2)",0.0
666,"(0, 83, 3)",0.0
667,"(0, 83, 4)",0.0
668,"(0, 83, 5)",0.0
669,"(0, 83, 6)",0.0
670,"(0, 83, 7)",0.0
671,"(0, 83, 8)",0.0
672,"(0, 84, 1)",0.0
673,"(0, 84, 2)",0.0
674,"(0, 84, 3)",0.0
675,"(0, 84, 4)",0.0
676,"(0, 84, 5)",0.0
677,"(0, 84, 6)",0.0
678,"(0, 84, 7)",0.0
679,"(0, 84, 8)",0.0
680,"(0, 85, 1)",0.0
681,"(0, 85, 2)",0.0
682,"(0, 85, 3)",0.0
683,"(0, 85, 4)",0.0
684,"(0, 85, 5)",0.0
685,"(0, 85, 6)",0.0
686,"(0, 85, 7)",0.0
687,"(0, 85, 8)",0.0
688,"(0, 86, 1)",0.0
689,"(0, 86, 2)",0.0
690,"(0, 86, 3)",0.0
691,"(0, 86, 4)",0.0
692,"(0, 86, 5)",0.0
693,"(0, 86, 6)",0.0
694,"(0, 86, 7)",0.0
695,"(0, 86, 8)",0.0
696,"(0, 87, 1)",0.0
697,"(0, 87, 2)",0.0
698,"(0, 87, 3)",0.0
699,"(0, 87, 4)",0.0
700,"(0, 87, 5)",0.0
701,"(0, 87, 6)",0.0
702,"(0, 87, 7)",0.0
703,"(0, 87, 8)",0.0
704,"(0, 88, 1)",0.0
705,"(0, 88, 2)",0.0
706,"(0, 88, 3)",0.0
707,"(0, 88, 4)",0.0
708,"(0, 88, 5)",0.0
709,"(0, 88, 6)",0.0
710,"(0, 88, 7)",0.0
711,"(0, 88, 8)",0.0
712,"(0, 89, 1)",0.0
713,"(0, 89, 2)",0.0
714,"(0, 89, 3)",0.0
715,"(0, 89, 4)",0.0
716,"(0, 89, 5)",0.0
717,"(0, 89, 6)",0.0
718,"(0, 89, 7)",0.0
719,"(0, 89, 8)",0.0
720,"(0, 90, 1)",0.0
721,"(0, 90, 2)",0.0
722,"(0, 90, 3)",0.0
723,"(0, 90, 4)",0.0
724,"(0, 90, 5)",0.0
725,"(0, 90, 6)",0.0
726,"(0, 90, 7)",0.0
727,"(0, 90, 8)",0.0
728,"(0, 91, 1)",0.0
729,"(0, 91, 2)",0.0
730,"(0, 91, 3)",0.0
731,"(0, 91, 4)",0.0
732,"(0, 91, 5)",0.0
733,"(0, 91, 6)",0.0
734,"(0, 91, 7)",0.0
735,"(0, 91, 8)",0.0
736,"(0, 92, 1)",0.0
737,"(0, 92, 2)",0.0
738,"(0, 92, 3)",0.0
739,"(0, 92, 4)",0.0
740,"(0, 92, 5)",0.0
741,"(0, 92, 6)",0.0
742,"(0, 92, 7)",0.0
743,"(0, 92, 8)",0.0
744,"(0, 93, 1)",0.0
745,"(0, 93, 2)",0.0
746,"(0, 93, 3)",0.0
747,"(0, 93, 4)",0.0
748,"(0, 93, 5)",0.0
749,"(0, 93, 6)",0.0
750,"(0, 93, 7)",0.0
751,"(0, 93, 8)",0.0
752,"(0, 94, 1)",0.0
753,"(0, 94, 2)",0.0
754,"(0, 94, 3)",0.0
755,"(0, 94, 4)",0.0
756,"(0, 94, 5)",0.0
757,"(0, 94, 6)",0.0
758,"(0, 94, 7)",0.0
759,"(0, 94, 8)",0.0
760,"(0, 95, 1)",0.0
761,"(0, 95, 2)",0.0
762,"(0, 95, 3)",0.0
763,"(0, 95, 4)",0.0
764,"(0, 95, 5)",0.0
765,"(0, 95, 6)",0.0
766,"(0, 95, 7)",0.0
767,"(0, 95, 8)",0.0
768,"(0, 96, 1)",0.0
769,"(0, 96, 2)",0.0
770,"(0, 96, 3)",0.0
771,"(0, 96, 4)",0.0
772,"(0, 96, 5)",0.0
773,"(0, 96, 6)",0.0
774,"(0, 96, 7)",0.0
775,"(0, 96, 8)",0.0
776,"(0, 97, 1)",0.0
777,"(0, 97, 2)",0.0
778,"(0, 97, 3)",0.0
779,"(0, 97, 4)",0.0
