,index,X
817,"(102, 2)",1.0
818,"(102, 3)",1.0
819,"(102, 4)",1.0
820,"(102, 5)",1.0
821,"(102, 6)",1.0
822,"(102, 7)",1.0
823,"(102, 8)",1.0
824,"(103, 1)",1.0
825,"(103, 2)",1.0
826,"(103, 3)",1.0
827,"(103, 4)",1.0
828,"(103, 5)",1.0
829,"(103, 6)",1.0
830,"(103, 7)",1.0
831,"(103, 8)",1.0
